STATE_UT_NAME,DISTRICT,ANNUAL
JHARKHAND,DEOGHAR,1162.1
JHARKHAND,GIRIDIH,1252.7
JHARKHAND,GODDA,1144.4
JHARKHAND,GUMLA,1421.3
JHARKHAND,LOHARDAGA,1197.1
JHARKHAND,CHATRA,1171.9
JHARKHAND,KODERMA,1116.2
JHARKHAND,PAKUR,1612.4
JHARKHAND,EAST SINGHBHU,1292.7
JHARKHAND,GARHWA,1041.8
JHARKHAND,SERAIKELA-KHA,1359.6
JHARKHAND,JAMTARA,1476.0
JHARKHAND,LATEHAR,1191.5
JHARKHAND,SIMDEGA,1573.1
JHARKHAND,KHUNTI(RANCHI,1482.8
JHARKHAND,RAMGARH,1248.3
BIHAR,BHAGALPUR,1207.9
BIHAR,EAST CHAMPARAN,1197.7
BIHAR,DARBHANGA,1123.6
BIHAR,GAYA,1003.9
BIHAR,MUNGER,1146.8
BIHAR,MUZAFFARPUR,1154.5
BIHAR,WEST CHAMPARAN,1472.0
BIHAR,PURNEA,1598.2
BIHAR,GOPALGANJ,1135.5
BIHAR,MADHUBANI,1293.3
BIHAR,AURANGABAD,974.9
BIHAR,BEGUSARAI,1090.7
BIHAR,BHOJPUR,1051.5
BIHAR,NALANDA,1002.2
BIHAR,PATNA,1074.8
BIHAR,KATIHAR,1342.7
BIHAR,KHAGARIA,1233.9
BIHAR,SARAN,1123.8
BIHAR,MADHEPURA,1392.7
BIHAR,NAWADA,1041.8
BIHAR,ROHTAS,949.1
BIHAR,SAMASTIPUR,1192.3
BIHAR,SITAMARHI,1293.1
BIHAR,SIWAN,1135.4
BIHAR,VAISHALI,1176.5
BIHAR,JAHANABAD,936.6
BIHAR,BUXAR,975.4
BIHAR,ARARIA,1632.2
BIHAR,BANKA,1054.5
BIHAR,BHABUA,1126.3
BIHAR,JAMUI,1107.3
BIHAR,KISHANGANJ,2090.6
BIHAR,SHEIKHPURA,1008.4
BIHAR,SUPAUL,1273.8
BIHAR,LAKHISARAI,1146.8
BIHAR,SHEOHAR,1293.1
BIHAR,ARWAL,874.4
BIHAR,SAHARSA,1692.9
UTTAR PRADESH,ALLAHABAD,902.6
UTTAR PRADESH,AZAMGARH,1058.3
UTTAR PRADESH,BAHRAICH,1148.6
UTTAR PRADESH,BALLIA,928.2
UTTAR PRADESH,BANDA,943.2
UTTAR PRADESH,BARABANKI,1055.4
UTTAR PRADESH,BASTI,1062.7
UTTAR PRADESH,DEORIA,1087.0
UTTAR PRADESH,FAIZABAD,1114.0
UTTAR PRADESH,FARRUKHABAD,853.3
UTTAR PRADESH,FATEHPUR,915.2
UTTAR PRADESH,GHAZIPUR,995.8
UTTAR PRADESH,GONDA,1160.1
UTTAR PRADESH,GORAKHPUR,1338.3
UTTAR PRADESH,HARDOI,918.2
UTTAR PRADESH,JAUNPUR,968.1
UTTAR PRADESH,KANPUR NAGAR,806.4
UTTAR PRADESH,KHERI LAKHIMP,1085.3
UTTAR PRADESH,LUCKNOW,885.3
UTTAR PRADESH,MIRZAPUR,1003.2
UTTAR PRADESH,PRATAPGARH,943.6
UTTAR PRADESH,RAE BARELI,853.0
UTTAR PRADESH,SITAPUR,1003.3
UTTAR PRADESH,SULTANPUR,944.5
UTTAR PRADESH,UNNAO,907.2
UTTAR PRADESH,VARANASI,1037.6
UTTAR PRADESH,SONBHADRA,1025.1
UTTAR PRADESH,MAHARAJGANJ,1389.1
UTTAR PRADESH,MAU,1121.3
UTTAR PRADESH,SIDDHARTH NGR,1145.7
UTTAR PRADESH,KUSHINAGAR,1326.6
UTTAR PRADESH,AMBEDKAR NAGAR,1013.3
UTTAR PRADESH,KANNAUJ,902.3
UTTAR PRADESH,BALRAMPUR,1247.9
UTTAR PRADESH,KAUSHAMBI,861.7
UTTAR PRADESH,SAHUJI MAHARA,986.3
UTTAR PRADESH,KANPUR DEHAT,857.2
UTTAR PRADESH,CHANDAULI,949.6
UTTAR PRADESH,SANT KABIR NGR,1110.6
UTTAR PRADESH,SANT RAVIDAS,949.6
UTTAR PRADESH,SHRAVASTI NGR,1148.6
UTTAR PRADESH,AGRA,774.6
UTTAR PRADESH,ALIGARH,771.0
UTTAR PRADESH,BAREILLY,996.6
UTTAR PRADESH,BIJNOR,1083.1
UTTAR PRADESH,BADAUN,884.8
UTTAR PRADESH,BULANDSHAHAR,779.0
UTTAR PRADESH,ETAH,714.4
UTTAR PRADESH,ETAWAH,829.6
UTTAR PRADESH,HAMIRPUR,881.8
UTTAR PRADESH,JALAUN,871.5
UTTAR PRADESH,JHANSI,931.5
UTTAR PRADESH,LALITPUR,1034.6
UTTAR PRADESH,MAINPURI,748.4
UTTAR PRADESH,MATHURA,655.9
UTTAR PRADESH,MEERUT,918.0
UTTAR PRADESH,MORADABAD,992.9
UTTAR PRADESH,MUZAFFARNAGAR,869.1
UTTAR PRADESH,PILIBHIT,1155.4
UTTAR PRADESH,RAMPUR,1057.6
UTTAR PRADESH,SAHARANPUR,963.9
UTTAR PRADESH,SHAHJAHANPUR,1010.8
UTTAR PRADESH,GHAZIABAD,766.3
UTTAR PRADESH,FIROZABAD,765.5
UTTAR PRADESH,MAHOBA,853.1
UTTAR PRADESH,MAHAMAYA NAGA,710.8
UTTAR PRADESH,AURAIYA,811.9
UTTAR PRADESH,BAGPAT,646.1
UTTAR PRADESH,JYOTIBA PHULE,917.4
UTTAR PRADESH,GAUTAM BUDDHA,669.3
UTTAR PRADESH,KANSHIRAM NAG,818.4
UTTARANCHAL,ALMORA,1157.3
UTTARANCHAL,CHAMOLI,1267.0
UTTARANCHAL,DEHRADUN,2123.9
UTTARANCHAL,GARHWAL PAURI,1464.0
UTTARANCHAL,NAINITAL,1743.7
UTTARANCHAL,PITHORAGARH,2098.0
UTTARANCHAL,GARHWAL TEHRI,1385.0
UTTARANCHAL,UTTARKASHI,1625.7
UTTARANCHAL,HARIDWAR,1143.9
UTTARANCHAL,CHAMPAWAT,1623.9
UTTARANCHAL,RUDRAPRAYAG,2150.9
UTTARANCHAL,UDHAM SINGH N,1313.9
UTTARANCHAL,BAGESHWAR,1157.3
HARYANA,AMBALA,1104.7
HARYANA,GURGAON,544.0
HARYANA,HISAR,401.4
HARYANA,JIND,509.1
HARYANA,KARNAL,714.4
HARYANA,MAHENDRAGARH,476.2
HARYANA,ROHTAK,618.0
HARYANA,BHIWANI,419.5
HARYANA,FARIDABAD,697.6
HARYANA,KURUKSHETRA,691.4
HARYANA,SIRSA,313.5
HARYANA,SONEPAT(RTK),644.2
HARYANA,YAMUNANAGAR,1107.0
HARYANA,KAITHAL,466.5
HARYANA,PANIPAT,624.1
HARYANA,REWARI,492.2
HARYANA,FATEHABAD,364.6
HARYANA,JHAJJAR,489.0
HARYANA,PANCHKULA,1148.2
HARYANA,MEWAT,572.0
HARYANA,PALWAL(FRD),508.1
CHANDIGARH,CHANDIGARH,1070.6
DELHI,NEW DELHI,747.1
DELHI,CENTRAL DELHI,747.1
DELHI,EAST DELHI,747.1
DELHI,NORTH DELHI,747.1
DELHI,NE DELHI,747.1
DELHI,SW DELHI,747.1
DELHI,NW DELHI,747.1
DELHI,SOUTH DELHI,747.1
DELHI,WEST DELHI,747.1
PUNJAB,AMRITSAR,721.7
PUNJAB,BATHINDA,407.9
PUNJAB,FEROZEPUR,455.6
PUNJAB,GURDASPUR,1112.5
PUNJAB,HOSHIARPUR,933.1
PUNJAB,JALANDHAR,719.1
PUNJAB,KAPURTHALA,568.0
PUNJAB,LUDHIANA,685.6
PUNJAB,PATIALA,752.0
PUNJAB,RUPNAGAR,956.5
PUNJAB,SANGRUR,557.4
PUNJAB,FARIDKOT,415.6
PUNJAB,MOGA,460.6
PUNJAB,NAWANSHAHR,1005.6
PUNJAB,FATEHGARH SAH,683.1
PUNJAB,MUKTSAR,399.5
PUNJAB,MANSA,419.8
PUNJAB,BARNALA,449.4
PUNJAB,SAS NAGAR(MGA),818.7
PUNJAB,TARN TARAN,449.2
